,상품 이름,판매 가격,상품 설명,이미지
10,프롬네이처 연어 큐브 300g,"2,400원","프롬네이처 연어 큐브는 양질의 순살코기살을 주원료로 한 고단백 저지방 간식입니다. 아미노산 함유로 두뇌 신경 활동을 촉진하며, 콜라겐 함유로 피부 및 피모 개선에 도움을 줍니다. 또한, 풍부한 단백질 공급원으로 질병예방 효과 및 체중 조절견의 다이어트 식품으로 적합합니다. 상품에 생기는 흰색 분말의 경우, 순 고기 성분에서 나오는 아미노산 칼슘 결정체이며 상품에 따라 다소 색깔의 차이가 생길 수 있으나, 건조과정에서 생기는 현상으로 품질에는 이상이 없으니 안심하고 급여하시기 바랍니다. 가급적 서늘한 곳에 보관하시고 진공포장을 개봉 후에는 최대한 빨리 급여하시고 밀봉하여 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/56/55395_detail_01397246.jpg
11,아침애 오리버거 100g,450원,"아침애 오리버거는 신선한 국내원료만을 엄선하여 엄격한 위생관리와 국내기술로 만든 촉촉하고 부드러운 100% 국산 영양만점 먹거리입니다. 직사광선이 닿는 장소, 해충이 있는 장소 등을 피하시고 서늘하고 건조한 장소에 보관하세요. 급여량은 견종, 활동수중, 환경, 온도 및 기후변화에 따라서 변경해주시고, 애견을 위하여 항상 신선한 물을 준비해 주세요.",http://img.dogpre.com/web/dogpre/product/20/19184_detail_01675299.jpg
12,도모다찌 닭꼬치 380g,"2,920원","도모다찌 닭꼬치는 애견들의 균형있는 발육을 위해 꼭 필요한 영양소를 엄격한 과정을 통해 선별, 배합하여 뛰어난 기호성과 맛을 자랑하는 최고급 영양 간식입니다. 신선한 닭고기를 주원료로 하여 단백질, 비타민, 미네랄, 칼슘이 풍부하게 함유되어 있고 고단백, 저지방의 영양 간식으로 발육 촉진, 변냄새 억제 및 골격 형성, 모질 개선에 효과가 뛰어나며 애견의 부족한 영양을 채워줍니다. 직사광선 및 고온 다습한 장소를 피하여 보관해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/20/19138_detail_01111790.jpg
13,도모다찌 고구마 사사미 380g,"3,210원","도모다찌 고구마 사사미는 애견들의 균형있는 발육을 위해 꼭 필요한 영양소를 엄격한 과정을 통해 선별, 배합하여 뛰어난 기호성과 맛을 자랑하는 최고급 영양 간식입니다. 신선한 닭고기를 주원료로 하여 단백질, 비타민, 미네랄, 칼슘이 풍부하게 함유되어 있습니다. 고단백, 저지방의 영양 간식으로 발육 촉진, 변냄새 억제 및 골격 형성, 모질 개선에 효과가 뛰어나며 애견의 부족한 영양을 채워줍니다. 자연건조 과정에서 상품마다 건조상태가 다를 수 있으며, 직사광선 및 고온 다습한 장소를 피하여 보관해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/20/19133_detail_01950750.jpg
14,바우와우 혼합간식 150g,"1,800원","바우와우 혼합은 신선한 농.수.축산물을 원료로 하였으며 애견의 건강을 위해 각종 기능성 재료를 첨가한 저지방, 저염분, 저칼로리의 부드러운 복합 애견 스낵입니다. 순수 천연 원료를 엄선하여 위생적이며 특수한 설비로 가공한 반건조 제품으로 발육중인 어린 애완 동물이나 식욕이 떨어지는 산전, 산후의 동물에게 꼭 필요한 필수 영양 간식입니다. 간혹 제품 표면에 하얀 성분 또는 검은 점이 나타날 때가 있으나 고기 성분이므로 안심하고 급여하셔도 좋습니다. 습기나 직사광선에 장시간 노출되지 않도록 보관해 주시고, 개봉후에는 건냉소에 보관해 주시기 바랍니다. 본 상품은 리뉴얼 되었으니 구매시 참고 부탁드립니다.",http://img.dogpre.com/web/dogpre/product/1/418_detail_01401577.jpg
15,도모다찌 오리꼬치 380g,"2,920원","도모다찌 오리꼬치는 애견의 균형있는 발육을 위해 꼭 필요한 영양소인 단백질, 칼슘, 비타민, 미네랄 등을 다량 함유하고 있으며 엄격한 과정을 통해 신선한 원료를 선별, 배합하여 뛰어난 기호성과 맛을 자랑하는 최고급 영양 간식으로 변 냄새 억제 및 골격 형성, 모질 개선에 효과가 있습니다. 직사광선 및 고온 다습한 장소를 피하여 보관해 주시고, 개봉 후에는 밀봉하여 가급적 단시간 내에 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/20/19142_detail_01222097.jpg
16,프롬네이처 칠면조 큐브 300g,"2,400원","프롬네이처 칠면조 큐브는 양질의 순살코기살을 주원료로 한 고단백 저지방 간식입니다. 아미노산 함유로 두뇌 신경 활동을 촉진하며, 콜라겐 함유로 피부 및 피모 개선에 도움을 줍니다. 또한, 풍부한 단백질 공급원으로 질병예방 효과 및 체중 조절견의 다이어트 식품으로 적합합니다. 상품에 생기는 흰색 분말의 경우, 순 고기 성분에서 나오는 아미노산 칼슘 결정체이며 상품에 따라 다소 색깔의 차이가 생길 수 있으나, 건조과정에서 생기는 현상으로 품질에는 이상이 없으니 안심하고 급여하시기 바랍니다. 가급적 서늘한 곳에 보관하시고 진공포장을 개봉 후에는 최대한 빨리 급여하시고 밀봉하여 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/56/55404_detail_01118606.jpg
17,페페로니 진짜 오메가3 소고기 180g,"5,200원","페페로니 진짜 오메가3 소고기는 소고기와 연어오일로 만든 소프트한 타입의 간식입니다. 치아에 부담이 가지 않는 말랑한 식감으로 어린 강아지부터 노령견까지 급여 가능하며, 글루코사민 함유로 뼈와 관절 건강에 도움을 줍니다. 노화 방지와 피부 미용에 도움이 되는 고단백 영양식품 소고기에 오메가3와 연어오일을 첨가하여 피부 및 혈관 건강에 도움을 줍니다. 보관이 편리하며 작은 사이즈로 칭찬 또는 훈련 간식으로 부담 없이 급여할 수 있습니다. 개봉 후에는 가급적 빠른 시일 내에 급여해주시고, 냉장보관 해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/54/53922_detail_01062232.jpg
18,ANF 밀크스틱 27개입,"4,300원","ANF 밀크스틱은 천연 물소가죽을 100% 사용하여 안전하며, 알레르기 주요 요인 중 하나인 전분을 최소화하여 알레르기 걱정이 없는 제품입니다. 건강한 밀크파우더를 첨가해 기호성이 높으며, 스트레스 해소에 도움을 주고, 가죽의 질감으로 인해 건강한 구강환경을 만들어 줄 수 있습니다. 개봉 후에는 서늘한 곳에 보관해 주십시오.",http://img.dogpre.com/web/dogpre/product/27/26304_detail_1271.jpg
19,구루머스 치킨 우유껌 7개입,"1,200원","구루머스 치킨 우유껌은 고단백 저지방의 닭가슴살과 천연 우육피로 만들어진 애견을 위한 기능성 간식입니다. 엄선된 순닭고기 가슴살에서 추출된 다량의 단백질, 비타민, 칼슘을 함유하여 애견의 부족한 영양성분을 보충해주고 치아의 잇몸을 건강하게 하여 치석, 충치, 잇몸의 농예방과 제거에 도움을 줍니다. 애견용이므로 사람은 먹지 말고, 아이가 줄 때에는 어른이 보는 앞에서 주고 애견을 흥분시키지 않도록 하십시오. 본 제품은 자연식품을 주원료로 하기 때문에 보관상태에 따라 변색, 혹은 곰팡이가 발생할 우려가 있으니 그러한 경우에는 애견에게 먹이지 않도록 하고, 과식에 의한 설사 위험이 있으니 적당량을 급여해 주십시오. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다. 본상품은 리뉴얼되어 기존의 포토 후기 이미지와 다소 차이가 있을 수 있습니다.",http://img.dogpre.com/web/dogpre/product/19/18984_detail_01033035.jpg
20,굿프랜드 치킨 소시지 8개입,"1,000원","굿프랜드 치킨 소시지는 신선한 재료를 엄선하여 만든 간식입니다. 고품질의 닭가슴살을 사용한 고단백, 저지방으로 애완동물의 체력 및 건강을 지켜줄뿐만 아니라 스트레스 해소 및 튼튼한 치아형성에도 도움을줍니다. 또한, 저지방, 저염분으로 애완동물의 비만을 억제해주며, 소화가 잘되고 체내에 부담이 없습니다. 직사광선 및 고온다습한 장소를 피하고 가능한 저온에서 보관하며, 개봉 후에는 밀봉하고 가급적 단시간 내에 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/13/12173_detail_01468462.jpg
21,도모다찌 일자슬라이스 사사미 380g,"3,500원","도모다찌 일자슬라이스 사사미는 애견의 균형 있는 발육을 위해 꼭 필요한 영양소인 단백질, 칼슘, 비타민, 미네랄 등을 다량 함유하고 있으며, 엄격한 과정을 통해 신선한 원료를 선별, 배합하여 뛰어난 기호성과 맛을 자랑하는 최고급 영양 간식으로 변 냄새 억제 및 골격 형성 모질 개선에 효과가 있습니다. 직사광선 및 고온 다습한 장소를 피하여 보관해 주시고, 개봉 후에는 밀봉하여 가급적 단시간 내에 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/20/19134_detail_01931163.jpg
22,덴탈헬스 민트향 60g,"1,300원","덴탈헬스 치주질환과 치석관리 상쾌한 후레쉬 민트향은 3개월 이상의 애견에게 급여 가능하며, 상쾌한 후레쉬 민트향이 나는 치석제거용 껌으로 말랑말랑하여 이가 약한 애견이나 노령견에게 좋습니다. 본 제품은 자형태로 치아 틈새에 있는 치석 제거에 용이하고 임상 실험을 통해 치주질환 개선효과가 입증된 유니베스틴을 함유하여 치주질환 개선효과에 도움을 줍니다. 또한, 유기태 셀레늄을 첨가하여 구강내 면역력을 강화하였습니다. 습기찬 곳을 피하고 건냉소 및 어린이 손이 닿지 않는 곳에 보관해 주십시오.",http://img.dogpre.com/web/dogpre/product/17/16116_detail_01838278.jpg
23,아침애 북어와 오리 60g,"4,000원","아침애 북어와 오리는 단백질과 칼슘이 풍부한 북어채에 오리고기 안심을 돌돌말아 만든 간식입니다. 북어에는 콜레스테롤이 적고 단백질이 두부의 8배, 우유의 24배 높으며 아미노산이 풍부해서 간 건강에도 도움을 줍니다. 오리고기는 고단백 저콜레스테롤 육류로 필수 아미노산과 비타민, 칼슘 등이 풍부합니다. 살찔 염려가 적어 건강한 다이어트에 도움이 되는 간식입니다. 아침愛 간식은 신선한 원재료의 맛을 그대로 살린 천연 수제간식입니다. 100% 국내 생산으로 맛과 품질이 우수하며 기호성이 뛰어난 건강 간식으로 반려동물의 건강을 위한 영양 만점 먹거리입니다. 직사광선이 닿는 장소나 해충이 있는 장소 등은 피하시고, 서늘하고 건조한 장소에 보관하시기 바라며, 개봉 후에는 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/24/23625_detail_01521185.jpg
24,리틀달링 오리껌 스틱 60g,"1,000원","리틀달링 오리껌 스틱은 천연 우피와 오리고기를 사용하여 만든 간식입니다. 오리고기의 풍부한 콜라겐과 불포화 지방, 단백질, 비타민 등이 영양공급과 피부 및 피모 개선에 도움을 줍니다. 또한, 간식을 씹으면서 치석, 충치, 잇몸의 농 예방 및 제거에 도움을 주며 반려동물의 스트레스 해소에 효과적입니다. 본 상품은 자연 식품을 주 원료로 하여 보관 상태에 따라 변색 또는 곰팡이가 발생할 우려가 있으니 그러한 경우, 즉시 급여를 중지하시기 바랍니다. 직사광선을 피해 서늘한 곳에 보관해 주시고 개봉 후, 가급적 빨리 급여해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/56/55368_detail_01464542.jpg
25,미스터 쿡 소고기 슬라이스 300g,"2,800원","미스터 쿡 소고기는 신선한 원료를 엄선하여 정성껏 만든 고단백, 저지방 영양간식으로 천연 콜라겐 함유로 피부 건강에 탁월하며, 전분을 사용한 간식과 달리 찢었을때 결이 살아있습니다. 또한, 반려동물의 성장발육과 부족한 영양공급에 도움을 주고, 저지방, 저염분으로 체내에 부담이 적습니다. 직사광선을 피하여 유, 소아의 손이 닿지 않는 곳에 보관해주시고, 제품 표면에 하얀 성분이 보일 수 있으나 제품의 특성상 생길 수 있는 현상이므로 안심하고 급여해주세요. 권장량 이상 급여 시 소화 장애를 일으킬 수 있으니 일일 급여량을 맞춰 주시고, 생후 3개월 미만의 어린 강아지에게 급여하지 마십시오.",http://img.dogpre.com/web/dogpre/product/49/48443_detail_01827822.jpg
26,아침애 북어와 닭가슴살 60g,"3,700원","아침애 북어와 닭가슴살은 단백질과 칼슘이 풍부한 북어채에 신선한 닭가슴살을 말아 만든 간식입니다. 북어와 닭고기를 함께 씹는 즐거움이 뛰어나 애견들이 먹는 즐거움을 느낄 수 있습니다. 북어는 콜레스테롤이 적고 아미노산이 풍부해서 간 건강에도 도움을 줍니다. 아침愛 간식은 신선한 원재료의 맛을 그대로 살린 천연 수제간식입니다. 100% 국내 생산으로 맛과 품질이 우수하며 기호성이 뛰어난 건강 간식으로 반려동물의 건강을 위한 영양 만점 먹거리입니다. 직사광선이 닿는 장소나 해충이 있는 장소 등은 피하시고, 서늘하고 건조한 장소에 보관하시기 바라며, 개봉 후에는 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/24/23620_detail_0350.jpg
27,미스터 쿡 연어 스테이크 300g,"2,800원","미스터 쿡 연어는 신선한 원료를 엄선하여 정성껏 만든 고단백, 저지방 영양간식으로 천연 콜라겐 함유로 피부 건강에 탁월하며, 전분을 사용한 간식과 달리 찢었을때 결이 살아있습니다. 또한, 반려동물의 성장발육과 부족한 영양공급에 도움을 주고, 저지방, 저염분으로 체내에 부담이 적습니다. 직사광선을 피하여 유, 소아의 손이 닿지 않는 곳에 보관해주시고, 제품 표면에 하얀 성분이 보일 수 있으나 제품의 특성상 생길 수 있는 현상이므로 안심하고 급여해주세요. 권장량 이상 급여 시 소화 장애를 일으킬 수 있으니 일일 급여량을 맞춰 주시고, 생후 3개월 미만의 어린 강아지에게 급여하지 마십시오.",http://img.dogpre.com/web/dogpre/product/49/48458_detail_01091488.jpg
28,네츄럴코어 콜라겐 황태스틱 30개입,"5,200원","네츄럴코어 콜라겐 황태스틱 30개입은 ISO9001 인증을 받은 상품으로 깨끗한 원료를 엄선하여 입고 단계부터 철저하게 관리, 생산한 새로운 스타일의 반려동물 간식으로, 소가죽이 아닌 100% 국내산 돈피로 만들어 일반 껌에 비해 소화가 용이하며, 치석제거 및 잇몸 마사지에 도움을 주고, 보존료, 보습제, 발색제, 인공색소, 산화방지제의 5가지 요소를 무첨가하여 안전합니다. 또한, 돈피에는 콜라겐이 풍부하여 피부를 매끄럽고 탄력있게 해주며 근육과 뼈, 힘줄 강화에 도움을 줍니다. 제조사인 H&F는 깐깐한 일본으로 반려동물용 돼지를 수출하는 자랑스러운 우리 기업입니다. 'Clean, Natural, Fresh'의 기업이념에 따라 모든 상품을 제조하여 안심하고 급여하실 수 있습니다. 유아, 어린이의 손에 닿지 않는 곳에 보관하시고, 강아지사료 이외의 용도로 사용하지 않습니다. 포장지가 날카로우므로 개봉 및 사용시 주의하시고, 소, 사슴 등 반추동물에게 급여를 금합니다. 신선도를 유지하기 위해 넣은 탈산소제를 급여하지 않도록 주의합니다. 외피에 박혀있는 털은 제거되지 않으므로 간혹 거뭇하게 보이는 털이 발견될 수 있습니다. 천연 돈피를 그대로 사용하므로 상품마다 색상차가 있을 수 있습니다.",http://img.dogpre.com/web/dogpre/product/48/47321_detail_01288452.jpg
29,구루머스 치킨 우유껌 5개입,"1,300원","구루머스 치킨 우유껌은 고단백 저지방의 닭가슴살과 천연 우육피로 만들어진 애견을 위한 기능성 간식입니다. 엄선된 순닭고기 가슴살에서 추출된 다량의 단백질, 비타민, 칼슘을 함유하여 애견의 부족한 영양성분을 보충해주고 치아의 잇몸을 건강하게 하여 치석, 충치, 잇몸의 농예방과 제거에 도움을 줍니다. 애견용이므로 사람은 먹지 말고, 아이가 줄 때에는 어른이 보는 앞에서 주고 애견을 흥분시키지 않도록 하십시오. 본 제품은 자연식품을 주원료로 하기 때문에 보관상태에 따라 변색, 혹은 곰팡이가 발생할 우려가 있으니 그러한 경우에는 애견에게 먹이지 않도록 하고, 과식에 의한 설사 위험이 있으니 적당량을 급여해 주십시오. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다. 본상품은 리뉴얼되어 기존의 포토 후기 이미지와 다소 차이가 있을 수 있습니다.",http://img.dogpre.com/web/dogpre/product/19/18983_detail_01182619.jpg
30,도모다찌 미니 닭갈비 380g,"3,500원","도모다찌 미니닭갈비는 애견들의 균형있는 발육을 위해 꼭 필요한 영양소를 엄격한 과정을 통해 선별, 배합하여 뛰어난 기호성과 맛을 자랑하는 최고급 영양 간식입니다. 신선한 닭고기를 주원료로 하여 단백질, 비타민, 미네랄, 칼슘이 풍부하게 함유되어 있고 고단백, 저지방의 영양 간식으로 발육 촉진, 변냄새 억제 및 골격 형성, 모질 개선에 효과가 뛰어나며 애견의 부족한 영양을 채워줍니다. 직사광선 및 고온 다습한 장소를 피하여 보관해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/20/19137_detail_01676896.jpg
31,버디펫푸드 고구마 사사미 400g,"3,800원","버디펫푸드 고구마 사사미는 기존 제품보다 수분 함량이 낮아져 기존 습식에서 건식 간식으로 변경되었습니다. 이 전의 달큰한 숯불향에서 강아지들이 좋아하는 시큼한 향으로 변경되었으며, 간혹 사람이 맡기에는 많이 시큼한 향 일수 있으나, 이는 변질된 것이 아니니 안심하시고 급여해 주시기 바랍니다. 버디 펫푸드 시리즈는 엄선된 원료만을 사용한 수퍼 프리미엄 영양간식으로 닭고기의 풍부한 영양이 반려견의 건강에 도움이 됩니다. 양질의 닭가슴살을 주원료로 사용하여 고단백, 저지방, 다이어트 영양식으로 높은 기호성의 간식이며, 4묶음으로 나뉘어 포장되어 있습니다. 생후 2개월 전의 젖 떼기 전 강아지와 반추 가축에는 급여하지 마시기 바랍니다. 애견이 급하게 과식하지 않도록 주의해주시고, 제품에 흰색 분말이 생길 경우 순 닭고기 성분에서 나오는 아미노산, 칼슘 결정체이오니 안심하고 급여하셔도 좋습니다. 제품 신선 보존을 위한 탈산소제는 식용이 아니며, 애견이 급식 중 토하는 등의 이상 증세를 보일 경우 급여를 중지하시고 수의사와 상담하시기 바랍니다. 제품에 따라 다소 색조의 차이가 생길 수 있으나, 건조 과정에서 생기는 현상이므로 품질에는 이상이 없으니, 안심하고 급여해주시되, 어린이는 먹지 않도록 주의해 주시기 바랍니다. 본 제품의 총중량은 400g, 실중량은 260g으로 구매시 참고부탁드립니다. 제품의 기호성이 우수하므로 과식에 의한 설사 위험이 있으니 적당히 급여해 주시기 바랍니다. 자연건조식품이므로 모양과 사이즈가 다소 차이가 날 수 있습니다.",http://img.dogpre.com/web/dogpre/product/10/9881_detail_1015.jpg
32,구루머스 닭고기 캔 100g,"1,200원","구루머스 닭고기 캔은 100% 순 살코기로 만든 고단백 영양간식입니다. 부산물 및 내장을 사용하지 않아 안심하고 급여할 수 있으며, 균형을 맞춘 영양 설계로 반려견의 한끼 식사 대용으로 할 수 있는 주식캔입니다. 고단백, 저지방, 저콜레스테롤이기 때문에 건강에 도움이 되며 비타민과 미네랄이 함유되어 성장중인 반려견부터 노령견까지 급여가 가능합니다. 직사광선은 피해 건조하고 서늘한 곳에 보관하여 주시기 바라며, 개봉 후 보관시에는 냉장 보관하시고 가급적 빨리 급여하여 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/42/41939_detail_01112519.jpg
33,구루머스 양고기&닭고기 캔 100g,"1,200원","구루머스 양고기&닭고기 캔은 100% 순 살코기로 만든 고단백 영양간식입니다. 부산물 및 내장을 사용하지 않아 안심하고 급여할 수 있으며, 균형을 맞춘 영양 설계로 반려견의 한끼 식사 대용으로 할 수 있는 주식캔입니다. 고단백, 저지방, 저콜레스테롤이기 때문에 건강에 도움이 되며 비타민과 미네랄이 함유되어 성장중인 반려견부터 노령견까지 급여가 가능합니다. 직사광선은 피해 건조하고 서늘한 곳에 보관하여 주시기 바라며, 개봉 후 보관시에는 냉장 보관하시고 가급적 빨리 급여하여 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/42/41930_detail_01002663.jpg
